INFO:2022-08-24 20:37:18,745:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
WARNING:2022-08-24 20:37:18,753:log:log_response:241:Not Found: /teacher/1/
WARNING:2022-08-24 20:37:18,753:basehttp:log_message:187:"GET /teacher/1/ HTTP/1.1" 404 23
INFO:2022-08-24 20:37:23,176:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
WARNING:2022-08-24 20:37:23,184:log:log_response:241:Not Found: /teacher/1/
WARNING:2022-08-24 20:37:23,184:basehttp:log_message:187:"GET /teacher/1/ HTTP/1.1" 404 23
INFO:2022-08-24 20:37:28,293:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
WARNING:2022-08-24 20:37:28,296:log:log_response:241:Not Found: /teacher/5/
WARNING:2022-08-24 20:37:28,296:basehttp:log_message:187:"GET /teacher/5/ HTTP/1.1" 404 23
INFO:2022-08-24 20:37:30,534:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-24 20:37:30,553:basehttp:log_message:187:"GET /teacher/ HTTP/1.1" 200 335
WARNING:2022-08-24 20:37:34,818:log:log_response:241:Forbidden: /teacher/
WARNING:2022-08-24 20:37:34,826:basehttp:log_message:187:"GET /teacher/ HTTP/1.1" 403 4951
INFO:2022-08-24 20:37:35,009:basehttp:log_message:187:"GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO:2022-08-24 20:37:35,009:basehttp:log_message:187:"GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO:2022-08-24 20:37:35,009:basehttp:log_message:187:"GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO:2022-08-24 20:37:35,017:basehttp:log_message:187:"GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO:2022-08-24 20:37:35,017:basehttp:log_message:187:"GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO:2022-08-24 20:37:35,017:basehttp:log_message:187:"GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO:2022-08-24 20:37:35,017:basehttp:log_message:187:"GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO:2022-08-24 20:37:35,017:basehttp:log_message:187:"GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO:2022-08-24 20:37:35,025:basehttp:log_message:187:"GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO:2022-08-24 20:37:35,025:basehttp:log_message:187:"GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO:2022-08-24 20:37:35,025:basehttp:log_message:187:"GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO:2022-08-24 20:37:37,605:basehttp:log_message:187:"GET /admin/ HTTP/1.1" 302 0
INFO:2022-08-24 20:37:37,629:basehttp:log_message:187:"GET /admin/login/?next=/admin/ HTTP/1.1" 200 2222
INFO:2022-08-24 20:37:37,655:basehttp:log_message:187:"GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2619
INFO:2022-08-24 20:37:37,655:basehttp:log_message:187:"GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3763
INFO:2022-08-24 20:37:37,655:basehttp:log_message:187:"GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO:2022-08-24 20:37:37,655:basehttp:log_message:187:"GET /static/admin/css/dark_mode.css HTTP/1.1" 200 796
INFO:2022-08-24 20:37:37,655:basehttp:log_message:187:"GET /static/admin/css/base.css HTTP/1.1" 200 20344
INFO:2022-08-24 20:37:37,655:basehttp:log_message:187:"GET /static/admin/css/responsive.css HTTP/1.1" 200 18854
INFO:2022-08-24 20:37:37,665:basehttp:log_message:187:"GET /static/admin/css/fonts.css HTTP/1.1" 200 423
